,YEAR,MONTH,ELEM_VAL
914,1966,3,61
915,1966,4,64
916,1966,5,52
917,1966,6,64
918,1966,7,71
919,1966,8,36
920,1966,9,60
921,1966,10,65
922,1966,11,78
923,1966,12,46
924,1967,1,67
925,1967,2,69
926,1967,3,59
927,1967,4,65
928,1967,5,50
929,1967,6,70
930,1967,7,50
931,1967,8,59
932,1967,9,80
933,1967,10,71
934,1967,11,65
935,1967,12,71
936,1968,1,55
937,1968,2,67
938,1968,3,65
939,1968,4,77
940,1968,5,61
941,1968,6,61
942,1968,7,70
943,1968,8,66
944,1968,9,68
945,1968,10,61
946,1968,11,55
947,1968,12,73
948,1969,1,55
949,1969,2,68
950,1969,3,65
951,1969,4,70
952,1969,5,70
953,1969,6,55
954,1969,7,58
955,1969,8,52
956,1969,9,78
957,1969,10,64
958,1969,11,85
959,1969,12,61
960,1970,1,54
961,1970,2,62
962,1970,3,49
963,1970,4,61
964,1970,5,54
965,1970,6,69
966,1970,7,70
967,1970,8,69
968,1970,9,52
969,1970,10,79
970,1970,11,68
971,1970,12,61
972,1971,1,46
973,1971,2,49
974,1971,3,35
975,1971,4,54
976,1971,5,64
977,1971,6,63
978,1971,7,66
979,1971,8,58
980,1971,9,60
981,1971,10,50
982,1971,11,76
983,1971,12,45
984,1972,1,65
985,1972,2,62
986,1972,3,57
987,1972,4,40
988,1972,5,58
989,1972,6,82
990,1972,7,71
991,1972,8,65
992,1972,9,77
993,1972,10,76
994,1972,11,63
995,1972,12,44
996,1973,1,61
997,1973,2,65
998,1973,3,58
999,1973,4,86
1000,1973,5,71
1001,1973,6,59
1002,1973,7,71
1003,1973,8,52
1004,1973,9,69
1005,1973,10,51
1006,1973,11,50
1007,1973,12,67
1008,1974,1,45
1009,1974,2,51
1010,1974,3,57
1011,1974,4,69
1012,1974,5,59
1013,1974,6,62
1014,1974,7,77
1015,1974,8,67
1016,1974,9,48
1017,1974,10,76
1018,1974,11,66
1019,1974,12,39
1020,1975,1,61
1021,1975,2,54
1022,1975,3,69
1023,1975,4,61
1024,1975,5,52
1025,1975,6,61
1026,1975,7,68
1027,1975,8,64
1028,1975,9,80
1029,1975,10,59
1030,1975,11,60
1031,1975,12,67
1032,1976,1,51
1033,1976,2,72
1034,1976,3,67
1035,1976,4,61
1036,1976,5,64
1037,1976,6,60
1038,1976,7, 
1039,1976,8,76
1040,1976,9,79
1041,1976,10,71
1042,1976,11,68
1043,1976,12,64
1044,1977,1,51
1045,1977,2,58
1046,1977,3,65
1047,1977,4,62
1048,1977,5,68
1049,1977,6,76
1050,1977,7,47
1051,1977,8,53
1052,1977,9,72
1053,1977,10,64
1054,1977,11,85
1055,1977,12,71
1056,1978,1,71
1057,1978,2,45
1058,1978,3,63
1059,1978,4,70
1060,1978,5,73
1061,1978,6,64
1062,1978,7,60
1063,1978,8,64
1064,1978,9,60
1065,1978,10,74
1066,1978,11,59
1067,1978,12,57
