,0,1,2
657,2013,2,2348.0
658,2013,3,1525.0
659,2013,4,389.0
660,2013,5,1089.0
661,2013,6,1019.0
662,2013,7,332.0
663,2013,8,512.0
664,2013,9,553.0
665,2013,10,1223.0
666,2013,11,1391.0
