,time,sst_4270,sst_4360,sst_4216,sst_4339,sst_34320,,4270,4360,4216,4339,34320
141,1861-10-01,2.654750124,3.81964727,1.808500051,0.268375009,-1.256333391,,,,,,
142,1861-11-01,1.824250065,3.608529582,0.475250028,-0.793750022,-1.592444499,,,,,,
143,1861-12-01,1.200875062,2.793941322,-0.288000014,-1.413875073,-1.719888965,,,,,,
144,1862-01-01,1.603625059,2.619411889,-0.823500037,-1.435625076,-1.80166675,,,,,,
145,1862-02-01,1.131125081,2.038176567,-1.067500025,-1.437500075,-1.811222315,,,,,,
146,1862-03-01,1.136500068,1.488353017,-0.797750041,-1.600625068,-1.82200008,,,,,,
147,1862-04-01,1.331250072,1.269823602,-0.02275,-1.578375056,-1.819000085,,,,,,
148,1862-05-01,1.492750071,1.786235378,0.759000033,-1.441375069,-1.798888975,,,,,,
149,1862-06-01,3.130500168,3.64729429,1.836000085,-0.899000049,-1.735888984,,,,,,
150,1862-07-01,4.018125176,4.565000169,2.946000159,0.557125025,-1.093666712,,,,,,
151,1862-08-01,3.966750175,5.397941519,3.465250134,1.293750063,-0.640000033,,,,,,
152,1862-09-01,3.292875171,4.748411978,3.142000139,1.04262504,-0.690444487,,,,,,
153,1862-10-01,2.397875145,3.716235469,1.397000074,0.375875017,-1.261666735,,,,,,
154,1862-11-01,1.506500043,3.404588377,0.295750005,-0.644125033,-1.609333422,,,,,,
155,1862-12-01,0.874875044,2.74388246,-0.283000018,-1.319750063,-1.726555639,,,,,,
156,1863-01-01,1.144250046,2.74517661,-0.787250057,-1.428750083,-1.805888997,,,,,,
157,1863-02-01,1.229625069,2.264117732,-1.055500045,-1.434500061,-1.813555664,,,,,,
158,1863-03-01,1.001625065,1.819588318,-0.80900003,-1.618125074,-1.825333436,,,,,,
159,1863-04-01,1.022500068,1.580941229,-0.021999999,-1.591500089,-1.823666745,,,,,,
160,1863-05-01,1.254625063,1.902294223,0.805250034,-1.445000052,-1.801000092,,,,,,
161,1863-06-01,2.370375112,3.27952955,1.474750072,-0.885500045,-1.740000089,,,,,,
162,1863-07-01,3.545250237,4.926647327,2.45900017,0.515125032,-1.091555595,,,,,,
163,1863-08-01,4.068875164,5.671176742,3.227500141,1.190875068,-0.665444484,,,,,,
164,1863-09-01,3.746875167,5.335117915,3.235750079,0.763750054,-0.72055558,,,,,,
165,1863-10-01,2.175875068,3.85658842,1.211500049,0.399125019,-1.2475556,,,,,,
166,1863-11-01,1.369625054,3.532470731,0.325250018,-0.654500034,-1.601666742,,,,,,
167,1863-12-01,0.978625045,2.653647184,-0.276000012,-1.400500059,-1.718555636,,,,,,
168,1864-01-01,1.190250043,2.455176592,-0.797750041,-1.43050006,-1.797555645,,,,,,
169,1864-02-01,1.108625047,2.318647183,-1.056000069,-1.424000069,-1.806111217,,,,,,
170,1864-03-01,0.998125061,1.612058874,-0.777250037,-1.60125009,-1.816777865,,,,,,
171,1864-04-01,1.031250034,1.469294194,0.015750003,-1.560125075,-1.810000088,,,,,,
172,1864-05-01,1.757375091,1.983353047,0.788500011,-1.414125055,-1.791000088,,,,,,
173,1864-06-01,2.972500145,3.37952956,1.690250069,-0.850000026,-1.713000086,,,,,,
174,1864-07-01,4.300875157,4.814529671,2.952750146,0.293625016,-1.05633337,,,,,,
175,1864-08-01,4.799625218,6.027117897,3.720250189,1.121250048,-0.629555589,,,,,,
176,1864-09-01,4.093125194,5.147412006,3.308250189,0.731375024,-0.723222251,,,,,,
177,1864-10-01,3.090375096,4.281823719,2.055750102,0.140500001,-1.263777839,,,,,,
178,1864-11-01,1.860875107,3.416529557,0.537750036,-0.754250034,-1.601666729,,,,,,
179,1864-12-01,1.32925006,2.774882471,-0.292750008,-1.385875061,-1.715888977,,,,,,
180,1865-01-01,1.753250092,2.845706035,-0.825000033,-1.427500069,-1.795000103,,,,,,
181,1865-02-01,1.410500057,2.374823658,-1.078250021,-1.416000083,-1.800111214,,,,,,
182,1865-03-01,1.295875065,1.77400007,-0.824250042,-1.58600007,-1.80944452,,,,,,
183,1865-04-01,0.870375047,1.240058894,-0.022750002,-1.554625079,-1.80844454,,,,,,
184,1865-05-01,1.610250086,1.870000086,0.797750011,-1.404375061,-1.785000086,,,,,,
185,1865-06-01,2.814250126,3.29841193,1.566500068,-0.862500027,-1.724222302,,,,,,
186,1865-07-01,4.061125249,4.774706111,2.881750166,0.676125031,-1.078888939,,,,,,
187,1865-08-01,3.90637514,5.037176721,3.458250105,1.516875073,-0.589555593,,,,,,
188,1865-09-01,3.449375123,4.727529596,3.318500161,0.826750025,-0.719333372,,,,,,
189,1865-10-01,2.501625106,3.977647276,1.714500099,0.313375015,-1.252000054,,,,,,
190,1865-11-01,1.723500073,3.386294309,0.472250015,-0.715250039,-1.596666747,,,,,,
191,1865-12-01,1.389000073,2.961941312,-0.26600001,-1.324125074,-1.713444524,,,,,,
192,1866-01-01,1.531000055,2.870294262,-0.812250033,-1.422250062,-1.792444521,,,,,,
193,1866-02-01,1.376000047,2.385294246,-1.070250034,-1.421000078,-1.798333433,,,,,,
194,1866-03-01,1.332875073,1.964941263,-0.81900005,-1.588250071,-1.807777868,,,,,,
195,1866-04-01,1.064375047,1.578117733,-0.044250003,-1.564125076,-1.807222313,,,,,,
196,1866-05-01,1.849750079,2.205000115,0.843500063,-1.431875087,-1.788000094,,,,,,
197,1866-06-01,2.925250173,3.70341193,1.769500107,-0.894125037,-1.729888969,,,,,,
198,1866-07-01,4.094250232,5.096823762,2.752250195,0.687250031,-1.09455561,,,,,,
199,1866-08-01,4.183125228,5.493117837,3.590250134,1.486125097,-0.676666697,,,,,,
200,1866-09-01,3.96750018,5.280059057,3.257750154,1.03337504,-0.749000053,,,,,,
201,1866-10-01,2.908000156,4.127706065,1.745250106,0.347125018,-1.247333381,,,,,,
202,1866-11-01,2.027250126,3.884941382,0.553000025,-0.723250037,-1.593444493,,,,,,
203,1866-12-01,1.195500039,2.708529535,-0.25325001,-1.396375075,-1.715777834,,,,,,
204,1867-01-01,1.424625058,2.623294227,-0.80900003,-1.431375079,-1.797333426,,,,,,
205,1867-02-01,1.209875058,2.305588338,-1.07675004,-1.438750058,-1.805555648,,,,,,
206,1867-03-01,1.136250068,1.482058883,-0.804000035,-1.580625102,-1.815888988,,,,,,
207,1867-04-01,1.228375047,1.251294168,-0.008,-1.556875072,-1.814222296,,,,,,
208,1867-05-01,1.965625063,2.269705969,0.800250024,-1.437625051,-1.794777857,,,,,,
209,1867-06-01,2.992500156,3.377058976,1.651750058,-0.878125045,-1.729000092,,,,,,
210,1867-07-01,4.305875272,5.496706121,3.356000125,0.658375032,-1.090333369,,,,,,
211,1867-08-01,4.24025026,6.28552981,4.146000147,1.636500075,-0.657444468,,,,,,
212,1867-09-01,3.679250121,5.58005908,3.102750123,1.589250073,-0.714111146,,,,,,
213,1867-10-01,2.572375104,4.042353111,1.790750057,0.441375024,-1.266777833,,,,,,
214,1867-11-01,1.768500105,3.648647238,0.555250026,-0.715625045,-1.602777839,,,,,,
215,1867-12-01,1.05537505,2.347588364,-0.268250011,-1.401250079,-1.719888965,,,,,,
216,1868-01-01,1.222125037,2.320647149,-0.808000043,-1.440125063,-1.802777873,,,,,,
217,1868-02-01,1.330500074,2.216470708,-1.064250052,-1.438875064,-1.811777883,,,,,,
218,1868-03-01,1.196750067,1.584823591,-0.787750036,-1.616625078,-1.820777853,,,,,,
219,1868-04-01,1.312250063,1.566705958,0.001750001,-1.577125072,-1.817444523,,,,,,
220,1868-05-01,1.595125072,2.181411876,0.752750039,-1.432000071,-1.799000091,,,,,,
221,1868-06-01,2.95400016,3.476294258,1.436500072,-0.864875028,-1.723777864,,,,,,
222,1868-07-01,3.724375159,4.506706098,2.411000073,0.292875018,-1.070555607,,,,,,
223,1868-08-01,4.098875225,5.830059122,3.494750142,1.208750062,-0.681777803,,,,,,
224,1868-09-01,3.28137517,4.794647301,3.234750152,0.95850005,-0.66977781,,,,,,
225,1868-10-01,2.630125165,4.078823721,1.619000077,0.260250013,-1.275666727,,,,,,
226,1868-11-01,1.804125063,3.72200015,0.464750022,-0.81062503,-1.602777852,,,,,,
227,1868-12-01,1.718750097,3.601235502,-0.274000011,-1.376000054,-1.722111185,,,,,,
228,1869-01-01,1.515875086,3.008235434,-0.814000025,-1.444500074,-1.804222306,,,,,,
229,1869-02-01,1.315000035,2.534411916,-1.067250043,-1.448875055,-1.810888992,,,,,,
230,1869-03-01,0.99550005,1.768823632,-0.800750047,-1.61087507,-1.817666756,,,,,,
231,1869-04-01,1.220875069,1.612176541,-0.02675,-1.586375087,-1.814444515,,,,,,
232,1869-05-01,2.064625084,2.615000066,0.813500017,-1.443500079,-1.791888979,,,,,,
233,1869-06-01,3.459500104,3.718529554,1.87225008,-0.914750058,-1.727777852,,,,,,
234,1869-07-01,4.637500167,5.410706127,3.256500125,0.394625016,-1.07766672,,,,,,
235,1869-08-01,4.391125143,5.848706133,3.764750183,1.308375053,-0.677222249,,,,,,
